id,author_id,text,topic
68bd03df-8d77-4d6d-a2b5-0ced8f082f96,19493112,census used sta usa give representation southern states slaves surprised trump wanted delute districts might new arrivals abroad,trump
7aa0bb21-596b-4cf8-880a-bd08960e8ceb,552348518,trump president failed activate military foreign attack homeland worse put tweets,trump
bf942900-a6ba-4f5e-9c8e-3fa4ddf21218,543761210,pied piper strategy democrats back prolife candidates donor class cannabis withhold access tree life paso texas first outlaw cannabis food medicine forced births began hyde amendment,trump
80804efb-9c2c-4c0a-b327-d5e35df6a53b,2700171211,breaking news two top donors slapped three felonies including conspiracy defraud united,trump
7ed53d16-6814-4860-b6dd-35ebf8e0dbab,1284866944806596608,think,trump
c13846d3-ee1f-4d15-a103-4d6c9124f0ca,1489024294201876480,trump made big deal wall mexico sending rapists cracking islamic terrorism said women punished abortions cruz came groveling wimp paul nerd,trump
a9dd320e-6640-422a-8133-d649d4aad95e,1313636616909488129,trump nervous one highprofile witness fence family knows truth either divorce separation loves tell truth january family versus trump,trump
0f94d1ed-43ab-45c0-958e-22e65e60fec7,1497610599663996928,home depot gives money trump gop shop street lowes,trump
3cab3626-d8f6-465e-b3f5-190955583e0a,28410906,refusal prevent seeking office failing convict trial declining,trump
b190443d-8aed-4e16-8f3c-6858905d58b0,1425081739563634692,seriously,trump
80ad9e80-9dfe-437b-85f2-ab8ee9d31564,399178595,georgia prosecutors tell alternate trump electors targets criminal probe,trump
9b5cabed-f2b5-48df-9502-9103fe0ef7d3,1454843751260508169,honesty gop founders would turning grave gop wants destroy trumps allies want biden investigated selling oil reserves china even though trump thing,trump
5b6eb494-9a3f-4444-b675-90e5eade2f63,1852591016,courteous think others trying get somewhere make one elses day worse jerk flow big one odd man gets pulled causes accidents avoid distractions farm town reason given,trump
102aec87-0fc3-47bb-9293-7e56df0f60f3,1369864785790197760,peopleespecially leftforget well country trump office dems everything make look badthen finally covid released create chaos countryworld downward spiral ever sincenwo shaping need trump desantis asap,trump
7a0b0555-487b-42ee-a248-a4f33c1f1314,169590129,trump pence hold rallies arizona friday abc,trump
babcd2f1-761a-4107-8b12-ff81e335532a,872832307585044480,still believe secret service agent took political job trump admin dime simply rotated,trump
241536f5-3cfd-4468-aaed-108611890b99,2857592041,whole secret service text message debacle underscores much institutions corrupted trump,trump
